Participant,CEFR
61126cd00f29b7c648dca793,A2
5df97fcd11d8796fd29e85e3,C1
60ef4642202c8520a37e19b5,C1
5f0559d1bc410b85707c58a3,C1
6341258618bd26e47d901d74,C1
5f600669b846780f0fe45709,C1
5ea9c1f55ce96d106af147a7,C1
60c8bfd9f42872e2d303cc67,C2
5fae9cb0444e590669418214,B2
5f983c66dabf130bee4502f7,C1
5f73427f244c770277ba2a5d,C1
60f88d7fef1959734061e5a7,B2
5f3e36440f2e8d0008474ef9,B2
5f3161410f87706425490ae1,B2
5ab15ab4c42b630001cd36fb,B2
5e569011c0486f03a51801b5,C1
5f2196d2670e5a0a96f218de,C1
60743bea7dd527ac14fef25b,C1
5f99cee5a2a7d109a1624e10,C1
5df50a49a98a7a3924e4137e,C1
5c4b06903566570001309394,C2
603a293ee62ae15da2674441,C1
5f7d002d141e4e1c0e84e98e,B2
5f770f1691d3f91d768299f3,C1
58c62eac444ade00010231a9,B2
5e1e3898753e43085dbc3d71,C2
5dc0856370d51c032949d2db,C1
5ad63c167f70c10001904bc5,C1
5df63f3ce632e14403dfa80f,C1
5de440d3400de40285c01263,B2
6030119a4403b3e1f92a756a,C1
6043725293678f31ff8f8ae5,B2
5e7a5584718c83035a42519c,A2
5bb2a0148f3bd70001e5633f,A2
5c4c747aa123930001ac124f,C1
5eecf91f87fdd30e01f700b8,C2
5ecfc4e722413102e68160ba,C1
611a78efa6c36a674dc40cc6,B2
5d8346167ed176001888204d,C1
6071d42438f4fc44ff6b54c5,C1
5c6ed5ea21a3560001bd3758,C2
613d091096ca434d703f77c5,B2
5f117f2b69f65101263bf8d0,C1
5ffdf54a500d7740e02f3639,B2
5f8f6afd0b55a11df912a5c9,C1
5f5e7de4c81d3672642cd612,B2
5efd146921bf49159fe2d166,C2
61139bc8479c2861f52c4a71,C1
5ecd7b06a1a9170e7806f51e,B2
5fc60be0227abc1b525a09a8,C2
5fa76304caa4374da116923a,B2
5f4e13a9c6a7d0ae613da383,C1
5f0af097e7d15b3bf7734642,C1
60317fc2c8f6320ecde4bcb3,C1
5e06667850221303e42bdfc4,C1
606b84e11527ce2103add0a5,B2
601941db6605160008690742,C2
6171b1bc917dfe828a3130dd,B2
5d2d98a9a0d896001a5d6e4f,C1
5f3e95436fa4350dadcfbfeb,B2
5fd0c81fc79aef1882cbee94,C1
5ed22618dd85e700082b5de0,B2
5f325435f0fc671a7434cabe,C1
5fb7e27bfec8e14167bddfef,C1
5edab4e9750d97142796d0fa,C2
5d7f460632ee8a0018dc7502,C2
5de00d05988d7c0877eaa15a,C2
5b830542b0d72600018dc280,C2
5e2d7770d70e4e367b8a6498,C1
5fd9c5c67fa7c74ec42bb318,C1
5f233d7f53212b0e22bf055d,B2
5f0d65ef2ad0c60009209f0f,B2
602fb33786b077cdbad2d5bb,B2
5d2b153afa24ba00173e8ee0,B2
59b536d60516f6000197c3f9,C2